Zip,CurrentTemp,CurrentCondition,MorningTemp,AfternoonTemp,EveningTemp,OvernightTemp
37010,69,Cloudy,68,77,65,60
37011,68,Cloudy,67,78,66,62
37012,71,Cloudy,69,75,65,61
37013,68,Cloudy,67,78,66,62
37014,67,Rain Shower,66,77,64,61
37015,69,Cloudy,68,77,65,61
37016,70,Cloudy,68,75,65,61
37018,70,Cloudy,69,75,64,61
37019,68,Cloudy,67,76,64,60
37020,69,Cloudy,68,75,64,61
37022,68,Rain Shower,67,76,66,61
37023,69,Cloudy,68,77,66,62
37024,68,Cloudy,67,77,65,61
37025,69,Cloudy,68,76,64,60
37026,71,Cloudy,69,75,66,62
37027,68,Cloudy,67,77,65,61
37028,70,Cloudy,69,78,66,62
37029,70,Cloudy,69,76,64,61
37030,70,Cloudy,69,75,65,61
37031,68,Cloudy,67,76,66,62
37032,69,Cloudy,68,76,65,60
37033,69,Cloudy,68,78,64,60
37034,68,Cloudy,67,77,64,60
37035,69,Cloudy,67,77,64,60
37036,69,Cloudy,68,76,64,61
37037,68,Cloudy,67,76,65,61
37040,69,Cloudy,69,77,66,61
37041,70,Cloudy,69,78,66,61
37042,70,Cloudy,69,78,66,60
37043,69,Cloudy,68,77,65,60
37044,69,Cloudy,69,77,66,61
37046,67,Cloudy,66,77,64,60
37047,68,Cloudy,67,77,64,59
37048,68,Cloudy,67,77,66,61
37049,69,Cloudy,68,76,65,61
37050,70,Cloudy,69,78,66,62
37051,70,Cloudy,69,76,65,61
37052,70,Cloudy,69,76,65,61
37055,69,Cloudy,69,76,64,61
37056,69,Cloudy,68,76,64,61
37057,70,Cloudy,68,75,66,62
37058,69,Cloudy,69,78,66,63
37059,70,Cloudy,70,75,65,60
37060,67,Cloudy,67,76,64,60
37061,69,Cloudy,69,77,65,62
37062,68,Cloudy,67,76,64,60
37063,68,Rain Shower,67,75,65,61
37064,68,Cloudy,67,77,65,60
37065,68,Cloudy,67,77,64,60
37066,68,Light Rain,67,77,66,62
37067,67,Cloudy,66,77,65,61
37068,69,Cloudy,67,77,65,61
37069,69,Cloudy,68,77,65,61
37070,68,Cloudy,67,78,67,62
37071,67,Cloudy,67,76,65,62
37072,68,Cloudy,67,77,66,62
37073,68,Cloudy,66,76,65,61
37074,68,Cloudy,67,75,66,61
37075,68,Cloudy,67,78,67,63
37076,68,Cloudy,67,78,67,63
37077,68,Cloudy,67,78,66,62
37078,69,Cloudy,68,78,65,61
37079,70,Cloudy,69,78,66,62
37080,68,Cloudy,66,76,65,61
37082,68,Cloudy,67,77,65,61
37083,68,Rain Shower,67,73,64,60
37085,68,Cloudy,67,76,66,62
37086,68,Cloudy,66,77,65,61
37087,68,Cloudy,67,76,66,61
37088,68,Cloudy,68,76,66,62
37089,68,Cloudy,67,78,65,61
37090,69,Cloudy,67,75,65,62
37091,68,Cloudy,67,77,64,59
37095,71,Cloudy,69,75,65,62
37096,69,Cloudy,68,78,64,61
37097,69,Cloudy,68,78,64,61
37098,69,Cloudy,68,76,64,60
37101,69,Cloudy,68,76,64,61
37110,72,Cloudy,71,76,65,61
37111,72,Cloudy,71,76,65,61
37115,69,Cloudy,67,78,67,63
37116,69,Cloudy,67,78,67,63
37118,69,Cloudy,67,75,65,61
37119,69,Cloudy,68,76,65,61
37121,67,Cloudy,67,76,66,62
37122,67,Cloudy,66,77,66,62
37127,68,Cloudy,67,76,66,62
37128,68,Cloudy,67,77,66,62
37129,68,Cloudy,67,77,66,62
37130,68,Cloudy,67,76,66,63
37131,68,Cloudy,67,76,66,63
37132,68,Cloudy,67,76,66,63
37133,68,Cloudy,67,76,66,63
37134,68,Cloudy,67,77,65,61
37135,68,Cloudy,66,77,65,61
37136,69,Cloudy,67,74,65,62
37137,68,Cloudy,68,77,64,60
37138,68,Cloudy,67,78,67,63
37140,69,Cloudy,68,78,65,61
37141,69,Cloudy,68,76,65,61
37142,71,Cloudy,69,78,66,62
37143,67,Cloudy,66,76,65,61
37144,69,Cloudy,68,77,65,61
37145,70,Cloudy,67,74,66,62
37146,68,Cloudy,66,76,65,60
37148,69,Cloudy,68,75,65,61
37149,69,Cloudy,69,75,65,61
37150,70,Cloudy,68,73,64,61
37151,70,Cloudy,68,75,66,61
37152,67,Cloudy,66,76,65,61
